Kolom1;Kolom2;Kolom3;vervangen;Kolom5
-122;3;Assen;Zwolle;400
-120;9;Amsterdam Amstel;Hilversum;280
-119;87;Amsterdam Zuid;Schiphol Airport;60
-118;53;Utrecht Centraal;Amersfoort;140
-118;84;Schiedam Centrum;Delft;70
-116;14;Utrecht Centraal;s-Hertogenbosch;270
-116;86;Amsterdam Sloterdijk;Zaandam;60
-115;13;Utrecht Centraal;Amsterdam Centraal;270
-115;25;Den Haag HS;Gouda;210
-114;12;Amsterdam Amstel;Almere Centrum;270
-114;26;Eindhoven;Tilburg;210
-114;32;Den Haag Centraal;Gouda;180
-111;66;Etten-Leur;Roosendaal;110
-111;76;Eindhoven;Helmond;90
-110;16;Zaandam;Hoorn;260
-110;57;Tilburg;Breda;130
-110;72;Deventer;Apeldoorn;100
-109;59;Delft;Den Haag Laan v NOI;120
-108;6;Zwolle;Amersfoort;350
-108;51;Leiden Centraal;Alphen a/d Rijn;140
-107;33;Eindhoven;s-Hertogenbosch;180
-107;50;Heerenveen;Steenwijk;140
-107;60;Den Haag Centraal;Leiden Centraal;120
-107;69;Almelo;Hengelo;100
-106;1;Roosendaal;Vlissingen;630
-105;55;Delft;Den Haag Centraal;130
-105;58;Arnhem Centraal;Dieren;120
-104;7;Utrecht Centraal;Schiphol Airport;330
-104;20;Deventer;Almelo;240
-104;43;Maastricht;Sittard;150
-104;64;Zaandam;Castricum;120
-103;5;Leeuwarden;Groningen;350
-103;22;Utrecht Centraal;Ede-Wageningen;240
-103;37;Weert;Eindhoven;170
-103;42;Leiden Centraal;Schiphol Airport;150
-103;70;Amsterdam Amstel;Amsterdam Zuid;100
-103;73;Rotterdam Alexander;Gouda;100
-103;78;Amsterdam Amstel;Amsterdam Centraal;80
-103;82;Breda;Etten-Leur;70
-102;23;Zwolle;Deventer;240
-102;52;Roermond;Weert;140
-102;62;Deventer;Zutphen;120
-102;74;Castricum;Alkmaar;90
-101;21;Steenwijk;Zwolle;240
-101;39;Haarlem;Beverwijk;160
-101;41;Oss;Nijmegen;160
-100;54;Beverwijk;Castricum;130
-100;65;Amsterdam Sloterdijk;Haarlem;110
-99;47;Utrecht Centraal;Hilversum;150
-99;56;Leiden Centraal;Heemstede-Aerdenhout;130
-98;38;Amsterdam Zuid;Amsterdam Sloterdijk;160
-97;2;Zwolle;Almelo;420
-97;10;Den Haag Laan v NOI;Gouda;280
-97;15;Hilversum;Almere Centrum;260
-97;18;Alkmaar;Hoorn;240
-97;31;Breda;Dordrecht;180
-97;83;Hengelo;Enschede;70
-96;49;Dordrecht;Rotterdam Blaak;140
-95;79;Delft;Den Haag HS;80
-94;11;Utrecht Centraal;Alphen a/d Rijn;280
-94;19;Apeldoorn;Amersfoort;240
-94;40;Leeuwarden;Heerenveen;160
-94;67;Rotterdam Blaak;Schiedam Centrum;110
-94;77;Rotterdam Blaak;Rotterdam Alexander;90
-94;85;Amsterdam Centraal;Amsterdam Sloterdijk;60
-93;4;Alkmaar;Den Helder;360
-93;8;Helmond;Venlo;300
-93;30;Utrecht Centraal;Amsterdam Amstel;190
-93;34;Utrecht Centraal;Gouda;180
-93;75;Den Haag Laan v NOI;Leiden Centraal;90
-92;27;Amsterdam Centraal;Almere Centrum;200
-92;45;Sittard;Heerlen;150
-92;48;Almere Centrum;Lelystad Centrum;140
-92;63;Nijmegen;Arnhem Centraal;120
-91;28;Apeldoorn;Zutphen;200
-91;35;Dordrecht;Rotterdam Centraal;170
-91;61;Den Haag HS;Leiden Centraal;120
-91;68;s-Hertogenbosch;Oss;110
-91;71;Arnhem Centraal;Ede-Wageningen;100
-90;44;s-Hertogenbosch;Tilburg;150
-87;36;Groningen;Assen;170
-87;81;Zutphen;Dieren;80
-86;29;Gouda;Alphen a/d Rijn;190
-86;46;Sittard;Roermond;150
-86;80;Rotterdam Centraal;Rotterdam Alexander;80
-85;24;Roosendaal;Dordrecht;220
-83;88;Heemstede-Aerdenhout;Haarlem;60
-78;17;Zaandam;Beverwijk;250
-62;89;Rotterdam Centraal;Schiedam Centrum;50
